company,cidr,,,,,,
Alibaba,120.25.108.0/24 ,,,,,,
Alibaba,120.25.110.0/24 ,,,,,,
Alibaba,120.25.111.0/24 ,,,,,,
Alibaba,120.25.112.0/23 ,,,,,,
Alibaba,120.25.115.0/24 ,,,,,,
Alibaba,120.25.136.0/22 ,,,,,,
Alibaba,120.25.64.0/19 ,,,,,,
Alibaba,120.25.96.0/21 ,,,,,,
Alibaba,120.27.0.0/17 ,,,,,,
Alibaba,120.27.128.0/17 ,,,,,,
Alibaba,120.27.128.0/18 ,,,,,,
Alibaba,120.27.192.0/18 ,,,,,,
Alibaba,120.55.0.0/16 ,,,,,,
Alibaba,120.76.0.0/15 ,,,,,,
Alibaba,120.76.0.0/16 ,,,,,,
Alibaba,120.77.0.0/16 ,,,,,,
Alibaba,120.78.0.0/15 ,,,,,,
Alibaba,121.0.16.0/21 ,,,,,,
Alibaba,121.0.24.0/22 ,,,,,,
Alibaba,121.0.28.0/22 ,,,,,,
Alibaba,121.196.0.0/16 ,,,,,,
Alibaba,121.197.0.0/16 ,,,,,,
Alibaba,121.198.0.0/16 ,,,,,,
Alibaba,121.199.0.0/16 ,,,,,,
Alibaba,121.40.0.0/14 ,,,,,,
Alibaba,121.42.0.0/18 ,,,,,,
Alibaba,121.42.0.0/24 ,,,,,,
Alibaba,121.42.128.0/18 ,,,,,,
Alibaba,121.42.17.0/24 ,,,,,,
Alibaba,121.42.192.0/19 ,,,,,,
Alibaba,121.42.224.0/19 ,,,,,,
Alibaba,121.42.64.0/18 ,,,,,,
Alibaba,123.56.0.0/15 ,,,,,,
Alibaba,123.56.0.0/16 ,,,,,,
Alibaba,123.57.0.0/16 ,,,,,,
Alibaba,139.129.0.0/16 ,,,,,,
Alibaba,139.129.0.0/17 ,,,,,,
Alibaba,139.129.128.0/17 ,,,,,,
Alibaba,139.196.0.0/16 ,,,,,,
Alibaba,139.196.0.0/17 ,,,,,,
Alibaba,139.196.128.0/17 ,,,,,,
Alibaba,139.224.0.0/16 ,,,,,,
Alibaba,139.224.0.0/17 ,,,,,,
Alibaba,139.224.128.0/17 ,,,,,,
Alibaba,140.205.0.0/16 ,,,,,,
Alibaba,140.205.128.0/18 ,,,,,,
Alibaba,140.205.192.0/18 ,,,,,,
Alibaba,140.205.32.0/19 ,,,,,,
Alibaba,140.205.76.0/24 ,,,,,,
Alibaba,182.92.0.0/16 ,,,,,,
Alibaba,203.107.0.0/24 ,,,,,,
Alibaba,203.107.1.0/24 ,,,,,,
Alibaba,203.209.224.0/19 ,,,,,,
Alibaba,218.244.128.0/19 ,,,,,,
Alibaba,223.4.0.0/16 ,,,,,,
Alibaba,223.5.0.0/16 ,,,,,,
Alibaba,223.5.5.0/24 ,,,,,,
Alibaba,223.6.0.0/16 ,,,,,,
Alibaba,223.6.6.0/24 ,,,,,,
Alibaba,223.7.0.0/16 ,,,,,,
Alibaba,39.100.0.0/14 ,,,,,,
Alibaba,39.104.0.0/14 ,,,,,,
Alibaba,39.104.0.0/15 ,,,,,,
Alibaba,39.104.0.0/24 ,,,,,,
Alibaba,39.106.0.0/15 ,,,,,,
Alibaba,39.108.0.0/16 ,,,,,,
Alibaba,39.108.0.0/17 ,,,,,,
Alibaba,39.108.0.0/24 ,,,,,,
Alibaba,39.108.128.0/17 ,,,,,,
Alibaba,39.96.0.0/13 ,,,,,,
Alibaba,39.96.0.0/14 ,,,,,,
Alibaba,39.96.0.0/24 ,,,,,,
Alibaba,42.120.0.0/16 ,,,,,,
Alibaba,42.121.0.0/16 ,,,,,,
Alibaba,42.156.128.0/17 ,,,,,,
Alibaba,42.96.128.0/17 ,,,,,,
Alibaba,45.113.40.0/22 ,,,,,,
Alibaba,45.113.40.0/23 ,,,,,,
Alibaba,45.113.40.0/24 ,,,,,,
Alibaba,45.113.42.0/23 ,,,,,,
Alibaba,47.92.0.0/14 ,,,,,,
Alibaba,47.92.0.0/15 ,,,,,,
Alibaba,47.92.0.0/24 ,,,,,,
Alibaba,47.94.0.0/15,,,,,,
Alibaba,110.76.23.0/24,,,,,,
Alibaba,116.251.120.0/22,,,,,,
Alibaba,116.251.120.0/23,,,,,,
Alibaba,116.251.122.0/23,,,,,,
Alibaba,116.251.64.0/18,,,,,,
Alibaba,116.251.96.0/22,,,,,,
Alibaba,116.251.96.0/23,,,,,,
Alibaba,116.251.98.0/23,,,,,,
Alibaba,140.205.1.0/24,,,,,,
Alibaba,140.205.122.0/24,,,,,,
Alibaba,147.139.0.0/17,,,,,,
Alibaba,147.139.0.0/18,,,,,,
Alibaba,147.139.128.0/17,,,,,,
Alibaba,147.139.128.0/18,,,,,,
Alibaba,147.139.192.0/18,,,,,,
Alibaba,147.139.64.0/18,,,,,,
Alibaba,149.129.0.0/20,,,,,,
Alibaba,149.129.0.0/21,,,,,,
Alibaba,149.129.128.0/18,,,,,,
Alibaba,149.129.128.0/19,,,,,,
Alibaba,149.129.160.0/19,,,,,,
Alibaba,149.129.16.0/23,,,,,,
Alibaba,149.129.192.0/18,,,,,,
Alibaba,149.129.192.0/19,,,,,,
Alibaba,149.129.224.0/19,,,,,,
Alibaba,149.129.32.0/19,,,,,,
Alibaba,149.129.32.0/20,,,,,,
Alibaba,149.129.48.0/20,,,,,,
Alibaba,149.129.64.0/18,,,,,,
Alibaba,149.129.64.0/19,,,,,,
Alibaba,149.129.8.0/21,,,,,,
Alibaba,149.129.96.0/19,,,,,,
Alibaba,161.117.0.0/16,,,,,,
Alibaba,161.117.0.0/17,,,,,,
Alibaba,161.117.126.0/24,,,,,,
Alibaba,161.117.127.0/24,,,,,,
Alibaba,161.117.128.0/17,,,,,,
Alibaba,161.117.128.0/24,,,,,,
Alibaba,161.117.129.0/24,,,,,,
Alibaba,161.117.138.0/24,,,,,,
Alibaba,161.117.143.0/24,,,,,,
Alibaba,198.11.128.0/18,,,,,,
Alibaba,198.11.130.0/24,,,,,,
Alibaba,198.11.131.0/24,,,,,,
Alibaba,198.11.132.0/24,,,,,,
Alibaba,198.11.134.0/23,,,,,,
Alibaba,198.11.136.0/24,,,,,,
Alibaba,198.11.137.0/24,,,,,,
