company_name,domain,sic_code,location_addresses,revenue
Ambition Group,www.ambitiongrouplimited.com,99,ASIA,100000
AAC Technologies Holdings,www.aactechnologies.com,99,ASIA,100000
Alibaba,www.alibaba.com,99,ASIA,100000
Anta Sports Products,ir.anta.com,99,ASIA,100000
Country Garden Holdings,bgy.com.cn,99,ASIA,100000
Zhejiang Dahua Technology,www.dahuasecurity.com,99,ASIA,100000
Foshan Haitian Flavouring and Food,www.hongweiasia.com,99,ASIA,100000
HLA,www.xmind.net,99,ASIA,100000
Huadong Medicine,www.dream-i.com.hk,99,ASIA,100000
Inner Mongolia Yili,www.valuepartners-group.com,99,ASIA,100000
Jiangsu Hengrui Medicine,www.asiapay.com,99,ASIA,100000
Logan Property Holdings,www.olympiaindustriesltd.com,99,ASIA,100000
Longi Green Energy Technology,www.polestarllp.com,99,ASIA,100000
Luxshare Precision Industry,www.loginextsolutions.com,99,ASIA,100000
Midea Group,www.pepperfry.com,99,ASIA,100000
NetEase,www.bigbasket.com,99,ASIA,100000
Rongsheng Petrochemical,www.getforked.in,99,ASIA,100000
S.F. Holding,www.goodworklabs.com,99,ASIA,100000
Shanghai Fosun Pharmaceutical,www.ferventsynergies.com,99,ASIA,100000
Shenzhou International Group Holdings,www.qwikcilver.com,99,ASIA,100000
Sunny Optical Technology Group,www.raghuvanshagro.com,99,ASIA,100000
Tencent Holdings,www.ixigo.com,99,ASIA,100000
Unisplendour,www.byjus.com,99,ASIA,100000
Vipshop Holdings,www.bizom.in,99,ASIA,100000
Yonghui Superstores,www.delhivery.com,99,ASIA,100000
YTO Express Group,globaledu.net.in,99,ASIA,100000
Zhejiang Chint Electrics,www.zomato.com,99,ASIA,100000
Prive Holdings,www.darshanorna.com,99,ASIA,100000
Hong Kong Television Network,www.blazeclan.com,99,ASIA,100000
AfterShip,www.rmclindia.co.in,99,ASIA,100000
Acqua Media,www.mettl.com,99,ASIA,100000
Prenetics,godavaridrugs.com,99,ASIA,100000
Sarment,www.ecozensolutions.com,99,ASIA,100000
Typhoon Consulting,www.capital-trust.com,99,ASIA,100000
Hong Wei Asia Holdings,www.leadsquared.com,99,ASIA,100000
XMind,capacite.in,99,ASIA,100000
Dream International,www.genymedium.com,99,ASIA,100000
Value Partners Group,www.itlindia.com,99,ASIA,100000
AsiaPay,www.chaipoint.com,99,ASIA,100000
China Aoyuan Property Group,www.zerodha.com,99,ASIA,100000
China Gas Holdings,www.moveinsync.com,99,ASIA,100000
Geely Automobile Holdings,www.geelyauto.com.hk,99,ASIA,100000
Sino Biopharmaceutical,www.e2enetworks.com,99,ASIA,100000
Tianneng Power International,www.tanla.com,99,ASIA,100000
Furlenco,www.oceanaabiotek.com,99,ASIA,100000
Olympia Industries,www.euro7000.com,99,ASIA,100000
Polestar Solutions & Services India,www.vcupack.com,99,ASIA,100000
LogiNext Solutions,www.one97.com,99,ASIA,100000
Pepperfry.com,suyogtelematics.co.in,99,ASIA,100000
Supermarket Grocery Supplies,www.tacfert.in,99,ASIA,100000
Fork Media,www.sastasundarventures.com,99,ASIA,100000
GoodWorkLabs Services,www.evolute.in,99,ASIA,100000
Fervent Synergies,www.cupidltd.com,99,ASIA,100000
Qwikcilver Solutions,highgroundenterprise.com,99,ASIA,100000
Raghuvansh Agrofarms,www.raghuvanshagro.com,99,ASIA,100000
ixigo,www.ixigo.com,99,ASIA,100000
Think & Learn,www.arraystorm.com,99,ASIA,100000
Mobisy Technologies,www.jiyaeco.com,99,ASIA,100000
Delhivery,www.syscogroup.in,99,ASIA,100000
Global Education,www.shivalikrasayan.in,99,ASIA,100000
Zomato Media,www.sepower.in,99,ASIA,100000
Darshan Orna,www.klayschools.com,99,ASIA,100000
BlazeClan Technologies,www.milkmantra.com,99,ASIA,100000
Radha Madhav Corp,www.maanaluminium.in,99,ASIA,100000
Induslynk Training Services,www.oasisindia.in,99,ASIA,100000
Godavari Drugs,www.storeking.in,99,ASIA,100000
Ecozen Solutions,www.alphageoindia.com,99,ASIA,100000
Capital Trust,www.capitalnumbers.com,99,ASIA,100000
LeadSquared,www.bedmutha.com,99,ASIA,100000
Capacite Infraprojects,www.deepindustries.com,99,ASIA,100000
Zmot Pro,whiteorganics.co.in,99,ASIA,100000
Intrasoft Technologies,www.svendgaard.com,99,ASIA,100000
Mountain Trail Foods,vistapharmaceuticals.com,99,ASIA,100000
Zerodha,www.jeevanscientific.com,99,ASIA,100000
MoveInSync,www.globalspace.in,99,ASIA,100000
Spectrum Foods,www.natcopharma.co.in,99,ASIA,100000
E2E Networks,www.lexustile.com,99,ASIA,100000
Tanla Solutions,www.maajtl.com,99,ASIA,100000
Oceanaa Biotek Industries,www.grabon.in,99,ASIA,100000
Jyoti Resins and Adhesives,www.bannari.com,99,ASIA,100000
VCU Data Management,www.manomaytexindia.com,99,ASIA,100000
One97 Communications Paytm,www.vamaind.com,99,ASIA,100000
Suyog Telematics,www.asianhotelswest.com,99,ASIA,100000
Tuticorin Alkali Chemicals and Fertilizers,www.avantel.in,99,ASIA,100000
Sastasundar Digital Network,www.trivenienterprisesltd.com,99,ASIA,100000
Evolute Systems,www.octaware.com,99,ASIA,100000
