company_name,domain,,real_domain
amira international ltd.,amira.com.au,,amirainternational.com
ems group pty ltd,emsgroup.com.au,,emsgp.com.au
guma icrg,,,guma.com.au
resco services pty ltd,,,resco.com.au
readi,readiproject.com,,readi.net.au
extension hill pty ltd,,,asiairon.com.au
austin engineering,austineng.com,,austinengineering.com.au
oceanagold corporation,oceanagold.com,,oceanagold.com.au
fleetco,fleetco.net,,fleetco.com.au
queensland magnesia,sibelco.com/materials/magnesia,,qmag.com.au
safescape,safescape.com,,safescape.net.au
copperchem ltd,roundoakminerals.com.au,,copperchem.com.au
rift valley resources ltd,,,riftvalleyresources.com.au
amml,,,amml.com.au
sdv longwall support,,,longwallsupport.com.au
aimroc ltd,,,aimroc.com
messer eutectic castolin benelux,castolin.com,,castolin.be
thyssenkrupp christon,thyssenkrupp-materials.be,,thyssenkrupp-christon.be
tenneco automotive europe bvba,tenneco.com,,tenneco.eu
coil,coil.com,,coil.be
campine recycling,campine.com,,campinerecycling.be
fleurs,fleursnyc.com,,fleurs.ae
sahara mining services,saharaminingservices.com,,saharanr.com
kaolin ad,quarzwerke.com,,kaolin.bg
intercom group ltd,,,intercomgroup.bg
mini maritsa iztok ead,,,marica-iztok.com
sulb company,sulb.com.bh,,sulb.com
mineral processing,,,minpro.com.bo
vale,,,vale.com
gerdau,www2.gerdau.com,,gerdau.com
cbmm,cbmm.com,,cbmm.com.br
mineraß£o taboca s.a.,,,mtaboca.com.br
mmx,,,mmx.com.br
namisa - nacional min©rios s.a. - csn group,ri.csn.com.br,,namisa.com.br
mineraß£o caraba s/a,caraba.de,,minacaraiba.com.br
u&m mineraß£o e construß£o s/a,,,uem.com.br
beadell brasil ltd,,,beadellresources.com.au
mirabela mineraß£o do brasil,,,mirabela.com.br
mirabela mineraß£o do brasil,,,mirabela.com.au
sama mineraßµes associadas,,,sama.com.br
kinross brasil mineraß£o,,,kinross.com.br
mineraß£o caraba s/a,caraba.de,,mcsa.com.br
sei consultoria e projetos,seiconsultoria.com,,seimg.com.br
bahia mineraß£o ltda.,,,bamin.com.br
consorcio de aluminio do maranhao - alumar.,telelistas.net,,alumar.com.br
tsa - tubos soldados atl¢ntico,,,tsa.ind.br
zj mineraß£o,,,zjmineracao.com.br
aßovisa,,,acovisa.com.br
serabi mineraß£o sa,,,serabi.com.br
fer alvarez,,,feralvarez.com.br
servitec foraco,servitecforaco.com.br,,servitecsondagem.com.br
mineraß£o jundu ltda.,,,mjundu.com.br
ebam,,,ebam.com.br
comercial gerdau,www2.gerdau.com.br,,comercialgerdau.com.br
acoforja s.a,,,acoforja.com.br
indstria santa clara,industriasantaclara.co,,santaclarasa.com.br
grupo aßotubo - oficial,,,acotubo.com.br
ferro+ mineraß£o s/a,,,jmendes.com.br
servitec sondagem,servitecforaco.com.br,,redesondagens.com.br
afonso mineraß£o e logstica,,,construtoraafonso.com.br
grupo biogold,biogold-em.com,,fipbiogold.com
new steel,newsteelinc.com,,newsteel.com.br
silat - siderrgica latino americana,silatina.com.br,,silat.com.br
mcb servißos e mineraß£o,,,mcbnet.com.br
contecmina - consultoria em mineraß£o,,,contecmina.com
processos dnpm,sistemas.dnpm.gov.br,,processosdnpm.com.br
vitoria stone industria e comercio s/a,grupovitoriastone.com,,grupovitoriastone.com.br
belmont mineraß£o,,,grupobelmont.com.br
inbra metais,,,inbrametais.com.br
mineradora nosso senhor do bonfim,,,mnsb.com.br
unylaser | uma empresa do grupo pcp steel,pcpsteel.net,,unylaser.com.br
manabi s.a,manabi.com.uy,,manabi.com
fundipress fundiß£o sob press£o ltda.,,,fundipress.com.br
lipari mineraß£o ltda.,,,lipari.com.br
novamina empreendimentos ltda,,,novamina.com.br
zandona - mineraß£o e terraplenagem,,,zandona.com.br
alumind - extrus£o de alumnio,galisur.es,,alumind.com.br
whb componentes automotivos s/a,whbbrasil.com.br,,newhubner.com.br
pedreira araguaia ltda,britaaraguaia.com.br,,pedreiraaraguaia.com.br
siderbras,,,siderbras.ind.br
met°vila ltda,,,metavila.com.br
perfal tecnologia em alumnio,,,perfal.com.br
pigminas f°brica de pigmentos minas gerais ltda,,,pigminas.com.br
fundiß£o sideral,,,fundicaosideral.com.br
morupule colliery ltd,mcm.co.bw,,mcl.co.bw
hatch,hatchbrewery.business.site,,hatch.ca
goldcorp inc,,,goldcorp.com
arcelormittal dofasco,dofasco.arcelormittal.com,,dofasco.ca
potashcorp,nutrien.com,,potashcorp.com
royal canadian mint,monnaie.ca,,mint.ca
north american construction group,,,nacg.ca
cementation canada inc.,cementation.com,,cementation.ca
essar steel algoma inc.,algoma.com,,essarsteelalgoma.com
stelco - the steel company of canada,stelcocanada.com,,stelco.com
"minera bateas sac, compa±ia de fortuna silver mines",fortunasilver.com,,fotunasilver.com
dominion diamond corporation,ddmines.com,,ddcorp.ca
procon mining & tunnelling ltd,procongroup.net,,procongroup.com
mina pirquitas inc.,,,silverstandard.com
norwest corporation,,,norwestcorp.com
areva resources canada inc,mining.areva.com,,arevaresources.ca
arcelormittal produits longs canada,long-canada.arcelormittal.com,,notreaciertonavenir.com
bestech,bestech.co.il,,bestech.com
ecuacorriente s.a.,,,corriente.com.ec
tvi resource development,tvird.com.ph,,tviphilippines.com
fortis,fortis-swiss.com,,fortiscorporation.com
conuma coal resources,conumacoal.com,,conumacoal.ca
amc mining,amcconsultants.com,,amcmining.com
mineraß£o aurizona,,,lunagold.com
orano canada,mining.areva.com/EN/canada-93/orano-canada-incabout-usabout-us-home.html,,oranocanada.com
amercable,amercable.com,,gendon.com
gerard daniel worldwide,gerarddaniel.com,,gerarddaniel.ca
hard-line,,,hard-line.com
huckleberry mines ltd.,,,huckleberrymines.com
red eagle mining corporation,juniorminingnetwork.com,,redeaglemining.com
corbec inc,corbecgalv.com,,corbec.net
o'kane consultants,,,okc-sk.com
veris gold corp.,,,verisgold.com
cubex limited,cubexltd.com,,cubex.net
roll form group,,,rollformgroup.com
copper creek gold corp (tsx.v: cpv),,,coppercreekgold.com
nevsun resources,business.financialpost.com ,,nevsun.com
major wire,majorflexmat.com,,majorwire.cc
hamilton specialty bar (2007) inc.,thespec.com,,hsbsteel.com
raptor mining products inc.,raptormining.com,,raptorwearparts.com
claude resources inc.,,,clauderesources.com
max aicher (north america),mana-barmill.com,,annahuette.com
lithium americas corp.,lithiumamericas.com,,westernlithium.com
jebco industries inc.,jebcointl.com,,jebcoindustries.com
newmarket gold inc.,klgold.com,,newmarketgoldinc.com
